type,published,title,link,cve,description,cvss_score,base_severity,cwe_id,cwe_desc,vendor,product,versions_affectees,epss
avis,"Mon, 08 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans MISP (08 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1076/,CVE-2025-67906,,,,,,,,,
avis,"Thu, 11 Dec 2025 00:00:00 +0000",Vulnérabilité dans les produits Mitel (11 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1097/,CVE-2025-67823,,,,,,,,,
avis,"Mon, 15 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Roundcube (15 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1111/,CVE-2025-68460,,,,,,,,,
avis,"Mon, 15 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Roundcube (15 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1111/,CVE-2025-68461,,,,,,,,,
avis,"Tue, 16 Dec 2025 00:00:00 +0000",Vulnérabilité dans Trend Micro Apex One (16 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1115/,CVE-2025-49844,,,,,,,,,
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Google Chrome (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1116/,CVE-2025-14765,,,,,,,,,
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Google Chrome (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1116/,CVE-2025-14766,,,,,,,,,
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans les produits Synology (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1119/,CVE-2025-14713,,,,,,,,,
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans les produits Synology (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1119/,CVE-2025-66592,,,,,,,,,
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans les produits Synology (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1119/,CVE-2025-66593,,,,,,,,,
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Vulnérabilité dans Mozilla Firefox (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1118/,CVE-2025-14744,,,,,,,,,
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans GLPI (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1117/,CVE-2025-59935,,,,,,,,,
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans GLPI (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1117/,CVE-2025-64520,,,,,,,,,
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Vulnérabilité dans Sonicwall Secure Mobile Access (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1121/,CVE-2025-23006,,,,,,,,,
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Vulnérabilité dans Sonicwall Secure Mobile Access (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1121/,CVE-2025-40602,,,,,,,,,
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Vulnérabilité dans les produits Cisco (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1120/,CVE-2025-20393,,,,,,,,,
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Mattermost Server (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1122/,CVE-2025-12689,,,,,,,,,
