type,published,title,link,cve,description,cvss_score,base_severity,cwe_id,cwe_desc,vendor,product,versions_affectees,epss,risk_score,risk_level
avis,"Mon, 08 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans MISP (08 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1076/,CVE-2025-67906,,,,,,,,,,,Non disponible
avis,"Thu, 11 Dec 2025 00:00:00 +0000",Vulnérabilité dans les produits Mitel (11 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1097/,CVE-2025-67823,,,,,,,,,,,Non disponible
avis,"Mon, 15 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Roundcube (15 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1111/,CVE-2025-68460,,,,,,,,,,,Non disponible
avis,"Mon, 15 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Roundcube (15 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1111/,CVE-2025-68461,,,,,,,,,,,Non disponible
avis,"Tue, 16 Dec 2025 00:00:00 +0000",Vulnérabilité dans Trend Micro Apex One (16 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1115/,CVE-2025-49844,,,,,,,,,,,Non disponible
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Google Chrome (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1116/,CVE-2025-14765,,,,,,,,,,,Non disponible
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Google Chrome (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1116/,CVE-2025-14766,,,,,,,,,,,Non disponible
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans les produits Synology (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1119/,CVE-2025-14713,,,,,,,,,,,Non disponible
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans les produits Synology (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1119/,CVE-2025-66592,,,,,,,,,,,Non disponible
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans les produits Synology (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1119/,CVE-2025-66593,,,,,,,,,,,Non disponible
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Vulnérabilité dans Mozilla Firefox (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1118/,CVE-2025-14744,,,,,,,,,,,Non disponible
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans GLPI (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1117/,CVE-2025-59935,,,,,,,,,,,Non disponible
avis,"Wed, 17 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans GLPI (17 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1117/,CVE-2025-64520,,,,,,,,,,,Non disponible
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Vulnérabilité dans Sonicwall Secure Mobile Access (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1121/,CVE-2025-23006,,,,,,,,,,,Non disponible
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Vulnérabilité dans Sonicwall Secure Mobile Access (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1121/,CVE-2025-40602,,,,,,,,,,,Non disponible
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Vulnérabilité dans les produits Cisco (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1120/,CVE-2025-20393,,,,,,,,,,,Non disponible
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Mattermost Server (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1122/,CVE-2025-12689,,,,,,,,,,,Non disponible
avis,"Thu, 18 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans Mattermost Server (18 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1122/,CVE-2025-14273,,,,,,,,,,,Non disponible
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans PHP (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1126/,CVE-2025-14177,,,,,,,,,,,Non disponible
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans PHP (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1126/,CVE-2025-14178,,,,,,,,,,,Non disponible
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans PHP (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1126/,CVE-2025-14180,,,,,,,,,,,Non disponible
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans PHP (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1126/,CVE-2025-67899,,,,,,,,,,,Non disponible
avis,"Fri, 19 Dec 2025 00:00:00 +0000",Multiples vulnérabilités dans le noyau Linux de Red Hat (19 décembre 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1132/,CVE-2022-48701,"In the Linux kernel, the following vulnerability has been resolved:

ALSA: usb-audio: Fix an out-of-bounds bug in __snd_usb_parse_audio_interface()

There may be a bad USB audio device with a USB ID of (0x04fa, 0x4201) and
the number of it's interfaces less than 4, an out-of-bounds read bug occurs
when parsing the interface descriptor for this device.

Fix this by checking the number of interfaces.",,Non disponible,Non disponible,Non disponible,Linux,Linux,b9d43bcd061956c8144bcb453d07d13236b6ab28,8e-05,,Non disponible
